Epoch: [0]  [  290/12690]  eta: 0:35:04  lr: 0.001459  loss: 0.1451 (0.1817)  loss_classifier: 0.0959 (0.1261)  loss_box_reg: 0.0181 (0.0236)  loss_objectness: 0.0010 (0.0038)  loss_rpn_box_reg: 0.0134 (0.0282)  time: 0.1698  data: 0.0028  max mem: 1668
Epoch: [0]  [  300/12690]  eta: 0:35:04  lr: 0.001508  loss: 0.1312 (0.1802)  loss_classifier: 0.0923 (0.1248)  loss_box_reg: 0.0177 (0.0235)  loss_objectness: 0.0006 (0.0037)  loss_rpn_box_reg: 0.0174 (0.0282)  time: 0.1705  data: 0.0028  max mem: 1668
Epoch: [0]  [  310/12690]  eta: 0:35:04  lr: 0.001558  loss: 0.1377 (0.1795)  loss_classifier: 0.0923 (0.1243)  loss_box_reg: 0.0129 (0.0234)  loss_objectness: 0.0019 (0.0037)  loss_rpn_box_reg: 0.0174 (0.0281)  time: 0.1743  data: 0.0027  max mem: 1668
Epoch: [0]  [  320/12690]  eta: 0:35:03  lr: 0.001608  loss: 0.1455 (0.1788)  loss_classifier: 0.1095 (0.1239)  loss_box_reg: 0.0116 (0.0232)  loss_objectness: 0.0017 (0.0037)  loss_rpn_box_reg: 0.0157 (0.0280)  time: 0.1728  data: 0.0028  max mem: 1668
Epoch: [0]  [  330/12690]  eta: 0:34:59  lr: 0.001658  loss: 0.1525 (0.1785)  loss_classifier: 0.1126 (0.1237)  loss_box_reg: 0.0116 (0.0232)  loss_objectness: 0.0009 (0.0036)  loss_rpn_box_reg: 0.0236 (0.0280)  time: 0.1681  data: 0.0028  max mem: 1668
Epoch: [0]  [  340/12690]  eta: 0:35:00  lr: 0.001708  loss: 0.1679 (0.1805)  loss_classifier: 0.1242 (0.1250)  loss_box_reg: 0.0122 (0.0237)  loss_objectness: 0.0010 (0.0037)  loss_rpn_box_reg: 0.0270 (0.0281)  time: 0.1702  data: 0.0027  max mem: 1668
Epoch: [0]  [  350/12690]  eta: 0:34:57  lr: 0.001758  loss: 0.1793 (0.1821)  loss_classifier: 0.1102 (0.1259)  loss_box_reg: 0.0179 (0.0243)  loss_objectness: 0.0015 (0.0037)  loss_rpn_box_reg: 0.0270 (0.0282)  time: 0.1715  data: 0.0026  max mem: 1668
Epoch: [0]  [  360/12690]  eta: 0:34:57  lr: 0.001808  loss: 0.1729 (0.1818)  loss_classifier: 0.1074 (0.1256)  loss_box_reg: 0.0304 (0.0243)  loss_objectness: 0.0013 (0.0036)  loss_rpn_box_reg: 0.0285 (0.0282)  time: 0.1710  data: 0.0028  max mem: 1668
Epoch: [0]  [  370/12690]  eta: 0:34:55  lr: 0.001858  loss: 0.1349 (0.1803)  loss_classifier: 0.0799 (0.1242)  loss_box_reg: 0.0267 (0.0243)  loss_objectness: 0.0015 (0.0036)  loss_rpn_box_reg: 0.0313 (0.0282)  time: 0.1711  data: 0.0028  max mem: 1668
Epoch: [0]  [  380/12690]  eta: 0:34:53  lr: 0.001908  loss: 0.1318 (0.1799)  loss_classifier: 0.0857 (0.1239)  loss_box_reg: 0.0296 (0.0244)  loss_objectness: 0.0017 (0.0036)  loss_rpn_box_reg: 0.0180 (0.0280)  time: 0.1688  data: 0.0027  max mem: 1668
Epoch: [0]  [  390/12690]  eta: 0:34:50  lr: 0.001958  loss: 0.1362 (0.1786)  loss_classifier: 0.0917 (0.1229)  loss_box_reg: 0.0106 (0.0241)  loss_objectness: 0.0012 (0.0035)  loss_rpn_box_reg: 0.0140 (0.0281)  time: 0.1690  data: 0.0027  max mem: 1668
Epoch: [0]  [  400/12690]  eta: 0:34:52  lr: 0.002008  loss: 0.1362 (0.1790)  loss_classifier: 0.0788 (0.1230)  loss_box_reg: 0.0106 (0.0243)  loss_objectness: 0.0007 (0.0036)  loss_rpn_box_reg: 0.0219 (0.0282)  time: 0.1739  data: 0.0027  max mem: 1668
Epoch: [0]  [  410/12690]  eta: 0:34:50  lr: 0.002058  loss: 0.1568 (0.1786)  loss_classifier: 0.1048 (0.1228)  loss_box_reg: 0.0182 (0.0242)  loss_objectness: 0.0013 (0.0036)  loss_rpn_box_reg: 0.0215 (0.0280)  time: 0.1757  data: 0.0029  max mem: 1668
Epoch: [0]  [  420/12690]  eta: 0:34:50  lr: 0.002108  loss: 0.1656 (0.1794)  loss_classifier: 0.1017 (0.1232)  loss_box_reg: 0.0164 (0.0242)  loss_objectness: 0.0013 (0.0037)  loss_rpn_box_reg: 0.0211 (0.0283)  time: 0.1730  data: 0.0028  max mem: 1668
